File,Number of syllable,Length,Note rate,Location,Species
200612_009_4,5,1.321623793,3.783224867,A,grey
200612_009_9,5,0.840835241,5.946468173,A,grey
200612_010_4,7,1.561467911,4.482961162,A,grey
200612_010_5,8,2.126342161,3.762329576,A,grey
200612_011_3,3,0.848551947,3.535434701,A,grey
200612_011_6,5,1.331548377,3.755026918,A,grey
200612_012_1,4,0.944489594,4.235091655,A,grey
200612_012_2,4,0.974263347,4.105666104,A,grey
200612_013_1,8,1.698540621,4.709925626,A,grey
200612_013_2,8,1.974992252,4.050648803,A,grey
200612_014_5,9,2.168521643,4.150292909,A,grey
200612_014_6,11,2.548136988,4.316879371,A,grey
200612_017_9,7,1.535002353,4.560253595,A,grey
200612_017_10,7,1.721915355,4.065240477,A,grey
200612_018_5,7,1.560495815,4.485753778,A,grey
200612_018_6,7,1.60377533,4.364701133,A,grey
200612_019_3,2,0.620286511,3.224316447,A,grey
200612_019_4,4,1.060605119,3.771431919,A,grey
200612_021_4,5,1.252151704,3.993126379,A,grey
200612_021_9,7,1.782257113,3.927603907,A,grey
200613_023_2,11,2.074238094,5.303152051,B,black
200613_023_4,15,2.706122423,5.542986478,B,black
200613_024_2,8,1.554851522,5.14518582,B,black
200613_024_3,7,1.21079927,5.781305105,B,black
200613_025_2,4,0.90975355,4.396795155,B,black
200613_025_4,9,1.855897242,4.849406421,B,black
200613_026_6,7,1.275309067,5.488865547,B,black
200613_026_7,8,1.394404077,5.737217877,B,black
200613_027_5,5,1.283579554,3.895356532,B,black
200613_027_6,8,1.703720284,4.695606476,B,black
200613_029_1,4,0.962684665,4.155046968,B,black
200613_029_3,4,0.772463469,5.178238405,B,black
200613_030_2,8,1.54327284,5.1837885,B,black
200613_030_3,6,1.356359838,4.423604881,B,black
200613_033_9,3,0.742689716,4.039371941,B,black
200613_033_10,3,0.899828966,3.333966914,B,black
200613_034_2,6,1.315007404,4.562711953,B,black
200613_034_3,7,1.670638337,4.190015185,B,black
200613_042_4,9,1.702066187,5.287690966,B,black
200613_042_5,6,1.407636856,4.262462988,B,black
200613_001_2,7,1.563122008,4.478217287,C,grey
200613_001_3,10,1.559813814,6.411021567,C,grey
200613_001_11,9,1.457259777,6.175975033,C,grey
200613_002_1,11,2.079200386,5.290495363,C,grey
200613_005_2,11,2.389343641,4.603774781,C,grey
200613_005_3,11,2.304984676,4.772266001,C,grey
200613_005_6,12,2.520844382,4.760309715,C,grey
200613_006_1,8,1.508536795,5.303152051,C,grey
200613_006_2,8,1.713644868,4.668411844,C,grey
200613_007_1,3,0.626902901,4.785430083,C,grey
200613_007_2,3,0.669909432,4.478217287,C,grey
200613_008_2,4,0.666601237,6.000588921,C,grey
200613_008_3,3,0.582242272,5.152494322,C,grey
200613_012_2,9,1.607782637,5.597771609,C,grey
200613_012_4,10,1.845972657,5.417198332,C,grey
200613_015_1,8,1.38613359,5.771449487,C,grey
200613_015_4,7,1.184333712,5.91049628,C,grey
200613_016_2,8,1.419215538,5.636916865,C,grey
200613_016_5,8,1.586279371,5.043247831,C,grey
200613_016_14,8,1.367938519,5.848216046,C,grey
200704_022_4,8,1.972511106,4.055743958,D,white
200704_022_6,7,1.709509625,4.094741496,D,white
200704_023_1,3,0.659984848,4.545558901,D,white
200704_023_2,2,0.45156858,4.429006108,D,white
200704_024_6,7,1.516807282,4.614956747,D,white
200704_024_13,8,2.463778023,3.247045767,D,white
200704_028_2,4,0.886596187,4.511636819,D,white
200704_028_3,3,0.552468519,5.430173657,D,white
200704_030_13,6,1.553197424,3.862998938,D,white
200704_030_14,6,1.48041714,4.052911735,D,white
200704_033_1,6,1.751689108,3.425265347,D,white
200704_033_2,8,1.853416096,4.316354012,D,white
200704_034_8,6,1.491995822,4.021458983,D,white
200704_034_9,6,1.63094,3.678860043,D,white
200704_039_1,3,0.585550467,5.123384185,D,white
200704_039_2,4,0.924640426,4.326005966,D,white
200704_040_1,4,0.946143692,4.227687649,D,white
200704_040_2,4,0.959376471,4.169374716,D,white
200704_041_5,6,1.594549858,3.76281743,D,white
200704_041_7,5,1.316661501,3.797483252,D,white
200704_003_1,8,1.530040061,5.228621265,E,white
200704_003_3,6,1.281925457,4.680459358,E,white
200704_005_2,9,2.041983195,4.407479955,E,white
200704_005_4,14,3.02368998,4.630104307,E,white
200704_007_3,9,1.629285903,5.52389239,E,white
200704_007_4,10,1.531694158,6.528718508,E,white
200704_008_1,5,0.989150223,5.054843928,E,white
200704_008_2,5,1.013961684,4.931152804,E,white
200704_009_8,8,1.434102414,5.578402157,E,white
200704_009_9,8,1.328240183,6.023007061,E,white
200704_010_1,8,1.813717759,4.410829613,E,white
200704_012_2,4,0.82208639,4.865668682,E,white
200704_012_3,4,0.865092921,4.623780756,E,white
200704_013_1,4,0.944489594,4.235091655,E,white
200704_015_1,5,1.070200994,4.672019581,E,white
200704_018_1,6,1.397712272,4.292728997,E,white
200704_018_2,3,0.532619351,5.632540377,E,white
200704_020_1,5,1.159522252,4.312120783,E,white
200704_020_3,5,1.124786207,4.445289219,E,white
200704_020_10,6,1.498612211,4.003704197,E,white
200705_002_1,9,1.743418621,5.162271351,F,black
200705_002_6,6,1.013961684,5.917383365,F,black
200705_003_8,8,1.407636856,5.683283984,F,black
200705_003_9,7,1.260422191,5.553694667,F,black
200705_004_9,8,1.311699209,6.098959231,F,black
200705_004_13,7,1.310045112,5.343327445,F,black
200705_006_1,7,1.334856572,5.244009091,F,black
200705_006_2,6,1.439064706,4.169374716,F,black
200705_007_3,7,1.017269878,6.881163149,F,black
200705_007_4,7,1.052005923,6.653954932,F,black
200705_008_2,7,0.95829068,7.304672941,F,black
200705_008_4,7,0.939124866,7.453747899,F,black
200705_012_1,7,1.22661207,5.706775735,F,black
200705_012_2,7,1.220862326,5.73365223,F,black
200705_017_1,8,1.38613359,5.771449487,F,black
200705_017_2,8,1.434102414,5.578402157,F,black
200705_031_11,6,1.36132213,4.407479955,F,black
200705_031_22,7,1.690487505,4.140817355,F,black
200705_032_2,6,1.463876167,4.098707348,F,black
200705_032_13,7,1.516807282,4.614956747,F,black
200705_039_2,8,1.774415835,4.508526042,G,grey
200705_039_3,7,1.415907343,4.943826328,G,grey
200705_041_2,15,3.106394848,4.828748672,G,grey
200705_041_3,8,1.890633286,4.231386413,G,grey
200705_044_1,14,2.074238094,6.749466247,G,grey
200705_044_3,10,1.439064706,6.94895786,G,grey
200705_045_12,8,1.281925457,6.240612478,G,grey
200705_045_15,8,1.263730386,6.330464228,G,grey
200705_045_16,9,1.51846138,5.927052292,G,grey
200705_045_20,10,1.571392495,6.363782461,G,grey
200705_047_2,10,1.616053124,6.187915392,G,grey
200705_047_6,10,1.672292434,5.979815369,G,grey
200705_047_8,8,1.356359838,5.898139842,G,grey
200705_048_8,8,1.45560568,5.495993944,G,grey
200705_048_10,10,1.556505619,6.424647543,G,grey
200705_048_12,8,1.566430203,5.107153823,G,grey
200705_048_13,8,1.54327284,5.1837885,G,grey
200705_049_1,11,1.710336674,6.431482274,G,grey
200705_049_3,6,1.328240183,4.517255296,G,grey
200705_049_4,6,1.24222712,4.830034624,G,grey
