"","File","syllable","type","min.freq","max.freq","freq.range","duration","location","species","cluster8","1","2","cutree(cluster, 8)"
"1","200612_009_4",1,"A",2519,2848,329,0.023157363,"A","grey",1,656.507180894189,242.925511521687,1
"2","200612_009_4",2,"H",1763,2404,641,0.041352434,"A","grey",2,-250.428259869109,451.45394270135,2
"3","200612_009_4",3,"E",1522,2850,1328,0.153831055,"A","grey",3,-643.574515241854,-306.439210271159,3
"4","200612_009_4",4,"G",2758,3206,448,0.148868763,"A","grey",4,904.688799104439,-128.358594176271,4
"5","200612_009_4",5,"E",1522,2885,1363,0.167063834,"A","grey",3,-649.771664109272,-355.547207733064,3
"6","200612_009_9",1,"A",2484,2645,161,0.025670963,"A","grey",1,646.823294536729,508.564782093729,1
"7","200612_009_9",2,"G",2925,3327,402,0.067930356,"A","grey",4,1100.97200155848,-206.582023343056,4
"8","200612_009_9",3,"E",1883,3166,1283,0.123029423,"A","grey",5,-228.912418280674,-551.912926637871,3
"9","200612_009_9",4,"C",1442,2605,1163,0.080006864,"A","grey",2,-704.485552575392,-6.53948129780574,3
"10","200612_009_9",5,"G",2885,3366,481,0.070949483,"A","grey",4,1041.92106816151,-283.23048884029,4
"11","200612_010_4",1,"A",2524,2967,443,0.028119655,"A","grey",4,641.955068601777,78.6993381162548,1
"12","200612_010_4",2,"H",1681,2363,682,0.051277018,"A","grey",2,-350.067099235698,464.027794084271,2
"13","200612_010_4",3,"G",2244,3008,764,0.112478621,"A","grey",5,269.676773328874,-132.324059773107,5
"14","200612_010_4",4,"E",1601,2805,1204,0.155485152,"A","grey",3,-532.6193128354,-199.99230834483,3
"15","200612_010_4",5,"G",2526,3209,683,0.120749108,"A","grey",4,601.713487646051,-259.75098094844,5
"16","200612_010_4",6,"H",1682,2443,761,0.052931116,"A","grey",2,-362.928371422708,352.329147467684,2
"17","200612_010_4",7,"E",1522,3005,1483,0.162101542,"A","grey",3,-671.019029848939,-523.917481977923,3
"18","200612_010_5",1,"A",2400,2845,445,0.037217191,"A","grey",1,501.905384925646,181.898592425458,1
"19","200612_010_5",2,"D",1763,2389,626,0.049622921,"A","grey",6,-247.772339426124,472.500226561335,2
"20","200612_010_5",3,"E",1482,3087,1605,0.186085953,"A","grey",7,-737.683603451928,-660.898630330054,3
"21","200612_010_5",4,"G",2685,3050,365,0.143906471,"A","grey",4,837.144765633633,50.503932813378,4
"22","200612_010_5",5,"E",1402,2929,1527,0.173680223,"A","grey",3,-813.998983279332,-483.067353758959,3
"23","200612_010_5",6,"G",2518,3005,487,0.153831055,"A","grey",4,627.404900646171,22.092858690127,1
