,File,syllable,type,min.freq,max.freq,freq.range,duration,location,species
1,200612_009_4,1,A,2519,2848,329,0.023157363,A,grey
2,200612_009_4,2,H,1763,2404,641,0.041352434,A,grey
3,200612_009_4,3,E,1522,2850,1328,0.153831055,A,grey
4,200612_009_4,4,G,2758,3206,448,0.148868763,A,grey
5,200612_009_4,5,E,1522,2885,1363,0.167063834,A,grey
6,200612_009_9,1,A,2484,2645,161,0.025670963,A,grey
7,200612_009_9,2,G,2925,3327,402,0.067930356,A,grey
8,200612_009_9,3,E,1883,3166,1283,0.123029423,A,grey
9,200612_009_9,4,C,1442,2605,1163,0.080006864,A,grey
10,200612_009_9,5,G,2885,3366,481,0.070949483,A,grey
11,200612_010_4,1,A,2524,2967,443,0.028119655,A,grey
12,200612_010_4,2,H,1681,2363,682,0.051277018,A,grey
13,200612_010_4,3,G,2244,3008,764,0.112478621,A,grey
14,200612_010_4,4,E,1601,2805,1204,0.155485152,A,grey
15,200612_010_4,5,G,2526,3209,683,0.120749108,A,grey
16,200612_010_4,6,H,1682,2443,761,0.052931116,A,grey
17,200612_010_4,7,E,1522,3005,1483,0.162101542,A,grey
18,200612_010_5,1,A,2400,2845,445,0.037217191,A,grey
19,200612_010_5,2,D,1763,2389,626,0.049622921,A,grey
20,200612_010_5,3,E,1482,3087,1605,0.186085953,A,grey
21,200612_010_5,4,G,2685,3050,365,0.143906471,A,grey
22,200612_010_5,5,E,1402,2929,1527,0.173680223,A,grey
23,200612_010_5,6,G,2518,3005,487,0.153831055,A,grey
24,200612_010_5,7,D,1723,2364,641,0.062028651,A,grey
25,200612_010_5,8,E,1480,2961,1481,0.173680223,A,grey
26,200612_011_3,1,E,1442,2923,1481,0.153831055,A,grey
27,200612_011_3,2,B,1644,3046,1402,0.128658374,A,grey
28,200612_011_3,3,E,1480,2926,1446,0.15052286,A,grey
29,200612_011_6,1,A,2484,2901,417,0.036390142,A,grey
30,200612_011_6,2,H,1723,2324,601,0.061201602,A,grey
31,200612_011_6,3,E,1482,2885,1403,0.152176957,A,grey
32,200612_011_6,4,G,2765,3006,241,0.100899939,A,grey
33,200612_011_6,5,E,1601,2924,1323,0.153831055,A,grey
34,200612_012_1,1,A,2565,2760,195,0.02481146,A,grey
35,200612_012_1,2,H,1562,2363,801,0.046314726,A,grey
36,200612_012_1,3,I,1963,3045,1082,0.115786815,A,grey
37,200612_012_1,4,E,1482,2845,1363,0.145560568,A,grey
38,200612_012_2,1,A,2444,2885,441,0.03142785,A,grey
39,200612_012_2,2,H,1681,2365,684,0.046314726,A,grey
40,200612_012_2,3,I,1923,3047,1124,0.109170426,A,grey
41,200612_012_2,4,E,1520,2766,1246,0.153831055,A,grey
42,200612_013_1,1,A,2124,2526,402,0.036390142,A,grey
43,200612_013_1,2,A,2080,2441,361,0.044660629,A,grey
44,200612_013_1,3,B,2364,2965,601,0.127365497,A,grey
45,200612_013_1,4,A,2043,2362,319,0.03142785,A,grey
46,200612_013_1,5,B,2250,2968,718,0.124057302,A,grey
47,200612_013_1,6,E,1600,2885,1285,0.140598276,A,grey
48,200612_013_1,7,B,2404,2920,516,0.087498043,A,grey
49,200612_013_1,8,I,1561,2805,1244,0.076987737,A,grey
50,200612_013_2,1,A,2164,2605,441,0.039698337,A,grey
51,200612_013_2,2,A,2243,2601,358,0.049622921,A,grey
52,200612_013_2,3,B,1481,3088,1607,0.203453976,A,grey
53,200612_013_2,4,A,2124,2315,191,0.054585213,A,grey
54,200612_013_2,5,B,1480,2047,567,0.198491684,A,grey
